Linux-x86_64, native, cjpeg, calling, timestamp, 1696916704864865
Linux-x86_64, native, cjpeg, starting, timestamp, 1696916704865921
Linux-x86_64, native, cjpeg, main, timestamp, 1696916704867079
Linux-x86_64, native, cjpeg, start, timestamp, 1696916704867583
Linux-x86_64, native, cjpeg, end, timestamp, 1696916704875743
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 8160
Linux-x86_64, native, cjpeg, calling, timestamp, 1696916704882661
Linux-x86_64, native, cjpeg, starting, timestamp, 1696916704883672
Linux-x86_64, native, cjpeg, main, timestamp, 1696916704884873
Linux-x86_64, native, cjpeg, start, timestamp, 1696916704884936
Linux-x86_64, native, cjpeg, end, timestamp, 1696916704888176
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 3240
Linux-x86_64, native, cjpeg, calling, timestamp, 1696916704895012
Linux-x86_64, native, cjpeg, starting, timestamp, 1696916704896001
Linux-x86_64, native, cjpeg, main, timestamp, 1696916704897098
Linux-x86_64, native, cjpeg, start, timestamp, 1696916704897160
Linux-x86_64, native, cjpeg, end, timestamp, 1696916704900438
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 3278
Linux-x86_64, native, cjpeg, calling, timestamp, 1696916704907344
Linux-x86_64, native, cjpeg, starting, timestamp, 1696916704908354
Linux-x86_64, native, cjpeg, main, timestamp, 1696916704909866
Linux-x86_64, native, cjpeg, start, timestamp, 1696916704909928
Linux-x86_64, native, cjpeg, end, timestamp, 1696916704913147
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 3219
Linux-x86_64, native, cjpeg, calling, timestamp, 1696916704919855
Linux-x86_64, native, cjpeg, starting, timestamp, 1696916704920877
Linux-x86_64, native, cjpeg, main, timestamp, 1696916704922051
Linux-x86_64, native, cjpeg, start, timestamp, 1696916704922116
Linux-x86_64, native, cjpeg, end, timestamp, 1696916704925319
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 3203
Linux-x86_64, native, cjpeg, calling, timestamp, 1696916704932355
Linux-x86_64, native, cjpeg, starting, timestamp, 1696916704933423
Linux-x86_64, native, cjpeg, main, timestamp, 1696916704934553
Linux-x86_64, native, cjpeg, start, timestamp, 1696916704934634
Linux-x86_64, native, cjpeg, end, timestamp, 1696916704937728
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 3094
Linux-x86_64, native, cjpeg, calling, timestamp, 1696916704944618
Linux-x86_64, native, cjpeg, starting, timestamp, 1696916704945641
Linux-x86_64, native, cjpeg, main, timestamp, 1696916704946805
Linux-x86_64, native, cjpeg, start, timestamp, 1696916704946871
Linux-x86_64, native, cjpeg, end, timestamp, 1696916704950040
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 3169
Linux-x86_64, native, cjpeg, calling, timestamp, 1696916704957102
Linux-x86_64, native, cjpeg, starting, timestamp, 1696916704958161
Linux-x86_64, native, cjpeg, main, timestamp, 1696916704959259
Linux-x86_64, native, cjpeg, start, timestamp, 1696916704959323
Linux-x86_64, native, cjpeg, end, timestamp, 1696916704962454
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 3131
Linux-x86_64, native, cjpeg, calling, timestamp, 1696916704969892
Linux-x86_64, native, cjpeg, starting, timestamp, 1696916704970967
Linux-x86_64, native, cjpeg, main, timestamp, 1696916704971979
Linux-x86_64, native, cjpeg, start, timestamp, 1696916704972040
Linux-x86_64, native, cjpeg, end, timestamp, 1696916704975134
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 3094
Linux-x86_64, native, cjpeg, calling, timestamp, 1696916704982022
Linux-x86_64, native, cjpeg, starting, timestamp, 1696916704983071
Linux-x86_64, native, cjpeg, main, timestamp, 1696916704984211
Linux-x86_64, native, cjpeg, start, timestamp, 1696916704984277
Linux-x86_64, native, cjpeg, end, timestamp, 1696916704987481
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 3204
Linux-x86_64, native, cjpeg, calling, timestamp, 1696916704994335
Linux-x86_64, native, cjpeg, starting, timestamp, 1696916704995346
Linux-x86_64, native, cjpeg, main, timestamp, 1696916704996425
Linux-x86_64, native, cjpeg, start, timestamp, 1696916704996489
Linux-x86_64, native, cjpeg, end, timestamp, 1696916704999669
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 3180
Linux-x86_64, native, cjpeg, calling, timestamp, 1696916705006485
Linux-x86_64, native, cjpeg, starting, timestamp, 1696916705007469
Linux-x86_64, native, cjpeg, main, timestamp, 1696916705008528
Linux-x86_64, native, cjpeg, start, timestamp, 1696916705008590
Linux-x86_64, native, cjpeg, end, timestamp, 1696916705011730
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 3140
Linux-x86_64, native, cjpeg, calling, timestamp, 1696916705018582
Linux-x86_64, native, cjpeg, starting, timestamp, 1696916705019521
Linux-x86_64, native, cjpeg, main, timestamp, 1696916705020575
Linux-x86_64, native, cjpeg, start, timestamp, 1696916705020637
Linux-x86_64, native, cjpeg, end, timestamp, 1696916705023761
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 3124
Linux-x86_64, native, cjpeg, calling, timestamp, 1696916705030604
Linux-x86_64, native, cjpeg, starting, timestamp, 1696916705031541
Linux-x86_64, native, cjpeg, main, timestamp, 1696916705032723
Linux-x86_64, native, cjpeg, start, timestamp, 1696916705032783
Linux-x86_64, native, cjpeg, end, timestamp, 1696916705035909
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 3126
Linux-x86_64, native, cjpeg, calling, timestamp, 1696916705042745
Linux-x86_64, native, cjpeg, starting, timestamp, 1696916705043735
Linux-x86_64, native, cjpeg, main, timestamp, 1696916705044850
Linux-x86_64, native, cjpeg, start, timestamp, 1696916705044909
Linux-x86_64, native, cjpeg, end, timestamp, 1696916705047988
Linux-x86_64, native, cjpeg, accumulated, elapsed time, 3079
Linux-x86_64, wasmtime, cjpeg, calling, timestamp, 1696916705063260
WABENCH, wasmtime, cjpeg, starting, timestamp, 1696916705066004
Linux-x86_64, wasmtime, cjpeg, main, timestamp, 1696916705072809
Linux-x86_64, wasmtime, cjpeg, start, timestamp, 1696916705072899
Linux-x86_64, wasmtime, cjpeg, end, timestamp, 1696916705077628
Linux-x86_64, wasmtime, cjpeg, accumulated, elapsed time, 4729
Linux-x86_64, wasmtime, cjpeg, calling, timestamp, 1696916705092487
WABENCH, wasmtime, cjpeg, starting, timestamp, 1696916705094996
Linux-x86_64, wasmtime, cjpeg, main, timestamp, 1696916705098312
Linux-x86_64, wasmtime, cjpeg, start, timestamp, 1696916705098390
Linux-x86_64, wasmtime, cjpeg, end, timestamp, 1696916705103116
Linux-x86_64, wasmtime, cjpeg, accumulated, elapsed time, 4726
Linux-x86_64, wasmtime, cjpeg, calling, timestamp, 1696916705115290
WABENCH, wasmtime, cjpeg, starting, timestamp, 1696916705117776
Linux-x86_64, wasmtime, cjpeg, main, timestamp, 1696916705121287
Linux-x86_64, wasmtime, cjpeg, start, timestamp, 1696916705121366
Linux-x86_64, wasmtime, cjpeg, end, timestamp, 1696916705126113
